ID
операции	Дата	Магазин	Артикул	Операция	Количество
упаковок, шт	Цена руб/шт
79211	28.06.2021	М01	3	Поставка	50	71
79215	28.06.2021	М01	15	Поставка	30	60
79217	28.06.2021	М01	16	Поставка	20	356
79218	28.06.2021	М01	23	Поставка	10	475
79220	28.06.2021	М01	31	Поставка	50	48
79222	28.06.2021	М01	32	Поставка	40	58
79223	28.06.2021	М01	36	Поставка	20	371
79225	28.06.2021	М01	40	Поставка	10	269
79226	28.06.2021	М01	41	Поставка	50	93
79227	28.06.2021	М01	42	Поставка	20	53
79230	28.06.2021	М01	48	Поставка	40	116
79232	28.06.2021	М01	50	Поставка	10	93
79235	28.06.2021	М01	56	Поставка	20	81
79239	28.06.2021	М02	3	Поставка	50	75
79240	28.06.2021	М02	6	Поставка	30	184
79247	28.06.2021	М02	24	Поставка	30	193
79248	28.06.2021	М02	26	Поставка	50	67
79250	28.06.2021	М02	28	Поставка	50	31
79251	28.06.2021	М02	34	Поставка	40	111
79252	28.06.2021	М02	38	Поставка	30	71
79254	28.06.2021	М02	39	Поставка	10	340
79255	28.06.2021	М02	40	Поставка	20	265
79259	28.06.2021	М02	44	Поставка	30	68
79261	28.06.2021	М02	46	Поставка	30	57
79262	28.06.2021	М02	47	Поставка	20	381
79267	28.06.2021	М03	4	Поставка	20	14
79269	28.06.2021	М03	7	Поставка	10	30
79270	28.06.2021	М03	9	Поставка	30	88
79272	28.06.2021	М03	11	Поставка	20	235
79273	28.06.2021	М03	13	Поставка	50	42
79274	28.06.2021	М03	14	Поставка	30	215
79277	28.06.2021	М03	17	Поставка	20	197
79278	28.06.2021	М03	20	Поставка	100	96
79280	28.06.2021	М03	23	Поставка	20	570
79281	28.06.2021	М03	29	Поставка	50	33
79285	28.06.2021	М03	47	Поставка	10	555
79286	28.06.2021	М03	53	Поставка	40	62
79287	28.06.2021	М03	54	Поставка	50	82
79289	28.06.2021	М03	57	Поставка	40	380
79290	28.06.2021	М03	58	Поставка	10	173
79292	28.06.2021	М03	61	Поставка	10	93
79294	28.06.2021	М04	1	Поставка	20	216
79295	28.06.2021	М04	4	Поставка	20	13
79301	28.06.2021	М04	16	Поставка	20	480
79305	28.06.2021	М04	26	Поставка	50	58
79307	28.06.2021	М04	28	Поставка	30	43
79310	28.06.2021	М04	33	Поставка	30	57
79313	28.06.2021	М04	37	Поставка	50	78
79315	28.06.2021	М04	42	Поставка	20	59
79319	28.06.2021	М04	56	Поставка	30	78
